nom_espece,ug,date_realisation,serie,numero_circuit,nom_circuit,nb,km,valide
Cerf,Mont Lozère,2017-05-03,2,4,ML sud,144,32.4,
Cerf,Mont Lozère,2017-05-16,3,1,ML nord,2,35.2,
Cerf,Mont Lozère,2017-05-16,3,2,ML ouest,15,37.2,
Cerf,Mont Lozère,2017-05-16,3,3,Laubies,14,28.5,
Cerf,Mont Lozère,2017-05-16,3,4,ML sud,158,32.4,
Cerf,Mont Lozère,2017-05-17,4,1,ML nord,13,35.2,
Cerf,Mont Lozère,2017-05-17,4,2,ML ouest,6,37.2,
Cerf,Mont Lozère,2017-05-17,4,3,Laubies,9,28.5,
Cerf,Mont Lozère,2017-05-17,4,4,ML sud,86,32.4,
Cerf,Mont Lozère,2018-05-02,1,1,ML nord,31,35.2,
Cerf,Mont Lozère,2018-05-02,1,2,ML ouest,22,37.2,
Cerf,Mont Lozère,2018-05-02,1,3,Laubies,18,28.5,
Cerf,Mont Lozère,2018-05-02,1,4,ML sud,204,32.4,
Cerf,Mont Lozère,2018-05-03,2,1,ML nord,12,35.2,
Cerf,Mont Lozère,2018-05-03,2,2,ML ouest,9,37.2,
Cerf,Mont Lozère,2018-05-03,2,4,ML sud,93,32.4,
Cerf,Mont Lozère,2019-04-29,1,1,ML nord,28,35.2,
Cerf,Mont Lozère,2019-04-29,1,2,ML ouest,41,37.2,
Cerf,Mont Lozère,2019-04-29,1,3,Laubies,8,28.5,
Cerf,Mont Lozère,2019-04-29,1,4,ML sud,86,32.4,
Cerf,Mont Lozère,2019-04-30,2,1,ML nord,8,35.2,
Cerf,Mont Lozère,2019-04-30,2,2,ML ouest,13,37.2,
Cerf,Mont Lozère,2019-04-30,2,3,Laubies,26,28.5,x
Cerf,Mont Lozère,2019-04-30,2,4,ML sud,118,32.4,
Cerf,Mont Lozère,2019-05-13,3,1,ML nord,20,35.2,x
Cerf,Mont Lozère,2019-05-13,3,2,ML ouest,6,37.2,x
Cerf,Mont Lozère,2019-05-13,3,3,Laubies,10,28.5,x
Cerf,Mont Lozère,2019-05-13,3,4,ML sud,32,32.4,x
Cerf,Mont Lozère,2019-05-14,4,1,ML nord,19,35.2,x
Cerf,Mont Lozère,2019-05-14,4,2,ML ouest,2,37.2,x
Cerf,Mont Lozère,2019-05-14,4,3,Laubies,11,28.5,x
Cerf,Mont Lozère,2019-05-14,4,4,ML sud,140,32.4,x
Cerf,Méjean,2016-04-01,1,1,Mas St Chély,22,23.4,
Cerf,Méjean,2016-04-01,1,2,Hures La Parade,18,31,
Cerf,Méjean,2016-04-01,1,3,St Pierre des Trippiers,0,15,
Cerf,Méjean,2016-04-01,1,4,Fretma,4,38.3,
Cerf,Méjean,2016-04-01,1,5,Le Pradal,2,29.7,
Cerf,Méjean,2015-03-30,1,1,Mas St Chély,22,23.4,
