'45550-48-1040-2';'Andajac - PSG 48-1040-2'
'45824-48-1052-1';'Combes du Masaribal - RSA 48-1052-1'
'47770-48-1069-1';'Vaisse - PSG 48-1069-1'
'47598-48-1079-3';'Ribe Plone - PSG 48-1079-3'
'45742-48-1082-2';'Ricardes et Cassagnes - PSG 48-1082-2'
'45853-48-1083-1';'Coudoulac - SDG 48-1083-1'
'45590-48-1084-2';'Bals et Combe Sourde - PSG 48-1084-2'
'47835-48-1085-1';'Molières Aigoin - SDG 48-1085-1'
'46055-48-1090-1';'Jontanels - RSA 48-1090-1'
'47820-48-1104-1';'Villes Hautes - PSG 48-1104-1'
'45971-48-1109-1';'Fons - PSG 48-1109-1'
'46168-48-1115-1';'Lauzas - SDG 48-1115-1'
'46335-48-1120-2';'Puech La Canto et Lou Devezet - PSG 48-1120-2'
'46472-48-1121-1';'Prat de Blech - PSG 48-1121-1'
'45690-48-1124-1';'Cabrillac - PSG 48-1124-1'
'45826-48-1133-1';'Combes Issarte - PSG 48-1133-1'
'47714-48-1156-2';'St Frézal de Ventalon - PSG 48-1156-2'
'46295-48-1158-1';'Mas Soutairo - PSG 48-1158-1'
'47840-48-1175-1';'Crouzette - PSG 48-1175-1'
'47847-48-1186-1';'Fontaneilles - PSG 48-1186-1'
'47484-48-1192-1';'Pourcares - PSG 48-1192-1'
'48128-48-1212-2';'Lapeyre La Borie - PSG 48-1212-2'
'48137-48-1214-1';'Le Cremadet - PSG 48-1214-1'
'48066-48-1223-1';'Rousse et Bassurels - PSG 48-1223-1'
'48203-48-1248-1';'Croix de Berthel - PSG 48-1248-1'
'47899-48-1278-1';'Serre de la Dame - PSG 48-1278-1'
'48344-48-1292-1';'Dormilhouse - PSG 48-1292-1'
'47873-48-1296-1';'Urfruits - PSG 48-1296-1'
'49629-48-1310-1';'Bastides - PSG 48-1310-1'
'47548-48-1346-1';'Nom inconnu - CBPS -1346-1'
'47878-48-1353-1';'Grand Altier - PSG 48-1353-1'
'46560-48-1365-1';'Castanet - PSG 48-1365-1'
'48088-48-1366-1';'Issarlong - PSG 48-1366-1'
'47910-48-1367-1';'Ferrieres - PSG 48-1367-1'
'49731-48-1368-1';'Aumières - PSG 48-1368-1'
'48080-48-1373-1';'Leyris - PSG 48-1373-1'
'46911-48-1379-1';'Nom inconnu - PSG 48-1379-1'
'48087-48-1384-1';'La Réserve - PSG 48-1384-1'
'49786-48-1389-1';'Serre de La Borie et du Devezas - PSG 48-1389-1'
'49797-48-1397-1';'Saint Pierre - PSG 48-1397-1'
